"Team","Avg_PTS","Avg_AST","Avg_REB","Avg_STL","Avg_BLK","Avg_TOV","Avg_PF"
"3TM",17.4,6.9,3.4,1.2,0.2,2.7,3.1
"ATL",16.825,3.39,6.39,1.275,0.79,1.77,3.065
"DAL",16.5782608695652,3.66521739130435,7.52173913043478,1.07391304347826,1.03478260869565,1.89565217391304,3.01739130434783
"CLE",16.465,3.605,7.19,1.02,0.665,1.9,3.165
"HOU",16.0764705882353,2.84705882352941,7.51764705882353,1.17058823529412,1.00588235294118,1.92352941176471,3.27647058823529
"OKC",15.9473684210526,3.08421052631579,7.6,1.31578947368421,0.821052631578947,1.44210526315789,3.28947368421053
"GSW",15.8863636363636,4.67727272727273,7.16363636363636,1.90454545454545,0.718181818181818,1.64545454545455,3.82727272727273
"LAC",15.7136363636364,3.37272727272727,6.52272727272727,1.35454545454545,0.677272727272727,1.95909090909091,3.45454545454545
"BRK",15.6090909090909,3.51818181818182,5.83636363636364,1.09090909090909,0.559090909090909,2.05454545454545,3.06363636363636
"CHI",15.1954545454545,4.28181818181818,7.06818181818182,0.963636363636364,0.581818181818182,1.58181818181818,2.85454545454545
"WAS",15.1772727272727,3.58181818181818,7.90909090909091,1.36818181818182,0.672727272727273,2.00909090909091,2.91818181818182
"MEM",15.1666666666667,3.62380952380952,6.53333333333333,1.13333333333333,0.685714285714286,2.01428571428571,2.9952380952381
"IND",15.1363636363636,3.69090909090909,7.18181818181818,1.15,0.772727272727273,2.13636363636364,3.44545454545455
"NOP",15.0545454545455,4,6.9,1.32727272727273,0.763636363636364,2.05,3.02272727272727
"DET",15.0052631578947,3.84736842105263,5.79473684210526,1.15263157894737,0.7,1.93157894736842,3.37894736842105
"PHI",14.825,3.25,6.79583333333333,1.12916666666667,0.758333333333333,1.9375,2.57083333333333
"UTA",14.62,3.22,6.935,1.21,0.66,2.12,3.05
"PHO",14.5052631578947,3.22631578947368,6.51052631578947,1.01052631578947,0.71578947368421,1.94736842105263,2.5
"MIL",14.4954545454545,3.65,6.93181818181818,1.49090909090909,0.654545454545455,2.55454545454545,2.73636363636364
"SAS",14.452380952381,4.78095238095238,6.84285714285714,1.13333333333333,0.761904761904762,1.79047619047619,2.75238095238095
"2TM",14.4415384615385,3.86153846153846,6.97076923076923,1.26461538461538,0.746153846153846,2.07692307692308,3.19384615384615
"ORL",14.1588235294118,3.90588235294118,6.07647058823529,1.28235294117647,0.847058823529412,1.85882352941176,2.93529411764706
"MIA",14.095,3.585,6.605,1.185,0.82,1.92,2.615
"SAC",14.0434782608696,3.88695652173913,6.91739130434783,1.20434782608696,0.734782608695652,1.83478260869565,3.38260869565217
"CHO",13.96,3.808,6.952,1.38,0.704,2.496,2.86
"POR",13.8888888888889,2.86111111111111,6.88888888888889,1.3,0.8,2.54444444444444,3.3
"DEN",13.7941176470588,3.41764705882353,7.2,1.08235294117647,0.782352941176471,1.87647058823529,3.26470588235294
"TOR",13.7904761904762,3.72857142857143,6.51428571428571,1.12380952380952,0.776190476190476,2.17142857142857,3.54285714285714
"NYK",13.6764705882353,3.35294117647059,6.3235294117647,1.23529411764706,0.764705882352941,1.59411764705882,2.52941176470588
"LAL",13.3166666666667,3.26666666666667,6.02916666666667,1.13333333333333,0.754166666666667,1.9125,3.1875
"BOS",13.15,2.87222222222222,7.27777777777778,1.11666666666667,0.822222222222222,1.55,2.48888888888889
"MIN",13.1052631578947,4.18947368421053,6.96842105263158,1.37894736842105,0.531578947368421,2.47894736842105,3.97368421052632
"",NA,NA,NA,NA,NA,NA,NA
